FIPS,year,CLDD,HTDD,PRCP,TAVG,TMAX,TMIN
37001,2012,841.2,1611.6,1099.5,15.93,22.14,9.71
37003,2012,812.0,1565.8,1189.0,15.97,21.17,10.78
37005,2012,883.75,1565.8,1238.0,16.14,22.33,10.02
37007,2012,1022.0,1383.7,1099.8,17.19,23.22,11.16
37007,2012,883.75,1565.8,1212.97,16.14,22.33,10.02
37009,2012,200.2,2738.15,1113.57,10.92,17.51,4.34
37011,2012,171.42,3023.53,1443.3,10.76,16.12,5.4
37013,2012,1156.45,1183.4,1517.1,17.7,23.63,11.78
37015,2012,945.5,1482.25,1205.4,16.5,23.35,9.66
37017,2012,1167.1,1238.5,1089.3,17.96,25.48,10.43
37019,2012,1097.22,1158.83,1196.32,18.02,23.93,12.12
37021,2012,474.54,1963.34,1155.85,13.99,20.38,7.6
37021,2012,883.75,1565.8,1212.97,16.14,22.33,10.02
37023,2012,767.4,1721.95,1120.25,15.6,21.75,9.44
37025,2012,949.1,1510.1,931.7,16.49,23.83,9.15
37027,2012,769.1,1687.3,1105.95,15.54,22.19,8.88
37029,2012,883.75,1565.8,1400.4,16.14,22.33,10.02
37031,2012,976.1,1175.38,1265.97,17.54,23.2,11.89
37033,2012,859.0,1664.5,930.8,15.81,22.71,8.91
37035,2012,822.3,1608.7,1021.07,16.0,21.83,10.17
37037,2012,883.75,1549.2,1240.8,16.14,22.33,10.02
37039,2012,601.5,1733.35,1212.97,15.0,21.1,8.9
37041,2012,995.3,1327.5,1229.9,17.06,22.03,12.09
37045,2012,795.2,1551.7,1071.05,15.99,22.73,9.26
37047,2012,1129.8,1167.9,1260.7,17.92,24.54,11.3
37049,2012,1130.35,1182.8,1489.43,17.92,23.8,12.04
37051,2012,1081.33,1196.5,1185.14,17.62,23.69,11.54
37053,2012,883.75,1565.8,1212.97,16.14,22.33,10.02
37053,2012,883.75,1565.8,1212.97,16.14,22.33,10.02
37055,2012,1135.4,961.9,1467.4,18.47,22.15,14.78
37057,2012,900.2,1498.55,1099.0,16.33,23.12,9.54
37059,2012,883.75,1565.8,1050.9,16.14,22.33,10.02
37061,2012,761.0,1565.8,1192.03,15.65,21.84,9.46
37063,2012,890.3,1658.6,1106.0,16.0,22.11,9.88
37065,2012,894.2,1488.0,1212.97,16.25,22.19,10.32
37067,2012,887.9,1607.8,1018.2,16.06,21.69,10.43
37069,2012,883.75,1565.8,1085.6,16.14,22.32,10.02
37071,2012,918.0,1437.6,910.55,16.8,22.84,10.76
37073,2012,883.75,1565.8,1212.97,16.14,22.33,10.02
37073,2012,883.75,1565.8,1212.97,16.14,22.33,10.02
37075,2012,659.7,1862.27,1392.2,15.28,22.46,8.1
37077,2012,851.3,1660.9,1212.97,15.75,21.28,10.22
37081,2012,879.6,1610.9,1030.33,16.06,21.82,10.26
37083,2012,891.8,1675.2,1441.9,15.86,22.32,9.96
37085,2012,978.3,1351.1,947.5,16.99,23.14,10.84
37087,2012,583.77,1902.27,1269.4,14.46,20.96,7.97
37089,2012,481.38,1935.34,1281.23,14.13,20.42,7.83
37091,2012,742.9,1739.0,1448.8,15.18,21.04,9.31
37093,2012,883.75,1497.8,1117.8,16.14,22.33,10.02
37095,2012,1023.55,1170.75,1465.6,17.58,21.92,13.25
37097,2012,644.0,1992.7,996.4,14.48,21.5,7.47
37099,2012,543.6,1984.9,1212.97,14.28,21.29,7.26
37101,2012,846.4,1595.0,1096.46,16.14,22.64,9.64
37103,2012,883.75,1565.8,1664.7,16.14,22.33,10.02
37105,2012,913.5,1461.2,820.5,16.58,23.53,9.64
37107,2012,1135.5,1093.9,1342.8,18.15,23.94,12.35
37109,2012,705.2,1695.05,1021.77,15.4,22.16,8.64
37111,2012,684.5,1703.7,1212.97,15.36,21.78,8.94
37113,2012,364.7,2141.8,1212.97,13.46,19.59,7.34
37115,2012,456.5,2171.0,1031.2,13.4,20.89,5.92
37117,2012,957.4,1374.1,1230.2,16.79,22.52,11.06
37119,2012,971.0,1470.4,939.2,16.85,23.09,10.61
37121,2012,254.0,1565.8,1398.13,11.96,18.77,5.14
37123,2012,883.75,1584.2,871.8,16.14,22.33,10.02
37125,2012,883.75,1565.8,1088.8,16.14,22.33,10.02
37127,2012,1065.95,1368.75,1123.25,17.16,23.66,10.66
37129,2012,1108.2,1150.93,1352.48,17.98,24.11,11.85
37131,2012,818.4,1711.37,1510.67,15.52,21.53,9.49
37133,2012,1037.8,1185.45,1279.5,17.64,23.56,11.72
37135,2012,847.14,1635.48,1077.6,15.92,22.12,9.73
37137,2012,926.3,1277.9,1549.47,17.19,23.08,11.3
37139,2012,1214.7,1312.1,1213.7,18.04,23.39,12.7
37141,2012,1061.95,1224.0,1333.2,17.66,24.42,10.92
37145,2012,712.8,1565.8,966.3,14.83,21.87,7.79
37147,2012,1038.9,1342.0,1510.9,17.22,23.17,11.26
37149,2012,631.53,1652.27,1279.66,15.31,21.33,9.28
37151,2012,858.5,1518.5,942.0,16.32,22.01,10.62
37153,2012,1180.3,1229.05,1106.0,17.96,24.83,11.1
37155,2012,1089.6,1255.3,1157.34,17.6,23.53,11.46
37157,2012,749.7,1840.15,923.1,15.1,21.52,8.68
37159,2012,813.3,1649.9,872.27,15.79,22.22,9.36
37161,2012,832.45,1704.8,1051.9,15.84,23.02,8.64
37163,2012,971.4,1565.8,1111.5,16.78,22.85,10.71
37165,2012,1045.1,1285.0,990.7,17.54,23.77,11.18
37167,2012,883.75,1565.8,793.4,16.14,22.33,10.02
37169,2012,883.75,1565.8,1074.9,16.14,22.33,10.02
37171,2012,624.45,1990.65,1298.43,14.32,21.78,6.84
37173,2012,398.8,1880.55,1212.97,13.64,20.23,7.05
37175,2012,424.8,2157.67,1583.44,13.78,20.78,6.77
37177,2012,807.5,1587.3,1511.6,16.09,21.59,10.58
